applicant_id,race,gender,income,debt_to_income,internal_tenure,credit_score,years_at_address,voluntary_overtime,creditworthy,model_approved_biased,model_approved_fair
128,Black,Female,49189,0.488,7.5,646,1.6,1.5,1,1,1
129,White,Male,69255,0.127,1.2,787,0.9,6.2,1,1,1
130,White,Female,65203,0.369,6.1,718,0.1,3.0,0,0,0
131,Black,Male,55950,0.446,1.6,626,4.0,2.0,0,0,0
132,Black,Female,50321,0.366,0.5,628,2.7,0.5,1,0,1
133,White,Female,69418,0.396,5.0,714,3.5,2.6,1,0,1
134,Black,Male,46861,0.313,3.2,633,4.0,2.4,0,0,0
135,White,Female,70373,0.284,1.1,720,3.0,0.9,1,0,1
136,Black,Male,69411,0.326,1.0,632,8.3,8.0,0,0,0
137,Black,Male,74341,0.447,13.0,608,0.8,8.7,1,1,1
138,Black,Male,36566,0.258,6.9,714,0.9,7.0,0,0,0
139,White,Male,70170,0.415,5.8,739,5.3,8.5,1,0,1
140,White,Female,43348,0.309,0.5,607,2.1,1.6,1,1,1
141,White,Female,38649,0.373,4.9,681,6.2,0.6,1,1,1
142,White,Female,64440,0.367,0.8,748,6.8,1.2,0,0,1
143,White,Male,68008,0.311,13.3,697,15.7,3.9,1,0,0
144,White,Male,74998,0.258,0.5,677,3.4,8.8,1,0,1
145,White,Male,76861,0.387,1.5,692,5.0,1.9,1,0,1
146,White,Male,84478,0.264,2.0,710,2.0,0.2,1,1,1
147,Black,Male,58539,0.329,6.1,649,1.9,6.2,0,0,0
148,White,Male,101233,0.361,5.1,701,0.3,1.3,0,0,0
149,White,Female,66064,0.34,1.6,690,2.2,0.1,1,1,0
150,Black,Female,69424,0.505,2.9,604,0.8,2.4,0,0,0
151,White,Female,39671,0.326,6.3,648,21.6,0.1,0,0,0
152,Black,Male,71497,0.334,0.5,605,0.2,14.3,1,1,0
153,White,Male,70192,0.319,5.7,709,1.2,0.3,0,0,0
154,White,Female,43516,0.299,10.3,725,0.8,0.5,0,0,0
155,Black,Male,62205,0.336,0.5,612,7.7,0.9,0,0,0
156,Black,Male,54970,0.438,0.5,585,0.1,5.0,1,0,0
157,White,Male,77800,0.428,1.5,663,2.1,2.5,0,0,0
158,Black,Female,61110,0.393,0.5,718,7.4,0.5,0,0,0
159,Black,Male,43108,0.312,2.3,642,2.6,0.8,0,0,0
160,White,Female,73149,0.319,4.6,687,5.5,0.3,1,0,1
161,Black,Female,51064,0.446,2.9,612,0.0,1.1,0,0,0
162,Black,Female,64528,0.428,0.8,678,1.6,1.8,0,1,1
163,White,Female,60948,0.414,3.7,692,0.0,0.1,0,0,0
164,White,Female,58295,0.377,4.0,663,1.4,3.0,0,0,0
165,White,Male,72270,0.223,9.4,655,4.5,2.1,0,0,0
166,Black,Female,52018,0.375,0.6,669,9.9,0.4,0,0,0
167,White,Male,65372,0.203,4.1,717,4.3,1.6,1,0,0
168,White,Female,58036,0.41,8.5,638,1.2,0.7,0,1,0
169,White,Male,59731,0.161,2.4,763,17.3,3.7,0,1,1
170,White,Male,67653,0.21,1.6,674,2.6,8.6,0,0,0
171,White,Male,78763,0.264,0.7,598,10.1,1.2,0,0,1
172,White,Male,70626,0.339,7.1,778,14.4,0.2,0,1,0
173,Black,Female,61090,0.373,1.8,646,2.0,3.4,1,1,1
174,White,Male,70145,0.274,9.1,725,12.1,1.9,1,1,1
175,Black,Male,43684,0.356,6.6,738,5.1,0.9,0,0,0
176,White,Female,68972,0.342,1.7,649,15.3,0.3,1,1,1
177,Black,Male,51263,0.295,3.0,681,8.9,2.7,1,1,1
178,White,Male,69666,0.234,0.5,761,17.4,5.1,0,0,0
179,Black,Male,70375,0.498,1.1,613,6.1,6.3,0,0,1
180,Black,Male,46391,0.408,4.3,728,4.1,2.3,0,0,0
181,Black,Male,59647,0.433,4.0,590,3.6,2.9,0,0,1
182,White,Female,62594,0.334,1.5,693,1.3,1.2,0,0,0
183,Black,Female,58009,0.4,5.8,599,3.8,0.4,0,0,0
184,White,Male,80551,0.332,0.9,738,3.2,6.9,1,0,1
185,Black,Female,53638,0.461,2.2,604,1.7,0.2,0,0,0
186,Black,Female,47396,0.469,2.2,621,1.0,0.8,1,0,1
187,Black,Female,55733,0.401,1.5,608,0.5,0.7,0,0,0
188,White,Female,76356,0.397,10.8,640,3.3,5.7,0,0,0
189,White,Male,71727,0.127,4.2,668,3.4,5.7,1,1,1
190,White,Male,69327,0.362,2.7,702,3.8,1.9,0,0,0
191,White,Female,66881,0.3,2.5,693,13.2,1.1,1,0,1
192,Black,Male,58387,0.419,0.6,647,5.0,2.6,0,0,0
193,Black,Female,37622,0.365,1.6,619,8.2,2.3,0,0,0
194,White,Female,65393,0.237,3.9,680,4.8,0.2,0,0,0
195,White,Female,49532,0.354,9.0,621,9.3,0.5,0,0,0
196,White,Male,75744,0.195,5.9,671,0.4,4.5,1,0,1
197,Black,Female,43028,0.382,1.3,640,1.3,0.3,0,0,1
198,White,Female,63368,0.273,2.0,712,3.9,0.7,0,0,0
199,White,Male,75905,0.288,0.5,713,20.0,3.0,0,0,0
200,White,Male,96539,0.356,0.5,646,4.2,0.8,1,0,1
201,Black,Male,65427,0.346,2.2,678,8.2,4.5,0,0,0
202,Black,Female,64647,0.432,2.6,656,3.6,0.5,1,1,1
203,White,Female,81717,0.382,1.1,767,9.8,0.4,1,1,1
204,Black,Female,55892,0.367,3.6,579,1.2,0.5,1,1,1
205,Black,Male,60856,0.339,4.3,651,1.5,1.2,1,1,1
206,White,Female,52332,0.426,1.2,747,4.2,1.4,0,0,1
207,White,Male,70833,0.294,5.0,690,17.0,1.6,0,1,0
208,Black,Female,43769,0.446,0.8,607,0.6,2.7,0,0,0
209,Black,Female,46989,0.445,2.8,611,4.9,4.7,0,1,0
210,White,Female,81706,0.246,5.7,735,8.0,3.3,1,1,1
211,White,Male,73146,0.247,2.7,630,5.6,4.3,0,0,0
212,Black,Female,42241,0.436,8.3,635,4.4,1.3,0,0,0
213,Black,Male,71745,0.235,0.5,615,0.6,1.1,0,0,0
214,White,Female,72552,0.315,3.1,659,3.0,0.8,0,1,0
215,White,Male,82076,0.239,2.9,726,3.9,0.1,1,0,1
216,White,Male,51938,0.378,3.8,686,11.1,3.6,1,1,1
217,Black,Male,77486,0.404,6.3,669,0.4,4.5,0,0,0
218,Black,Male,52414,0.463,4.5,598,1.3,1.2,0,1,0
219,White,Male,79779,0.297,5.5,744,3.5,3.5,0,1,0
220,Black,Female,76237,0.402,1.2,661,2.5,0.6,0,0,0
221,White,Male,93553,0.279,1.7,764,4.6,9.8,1,1,1
222,Black,Male,48224,0.345,3.4,638,2.5,0.3,1,1,1
223,White,Female,48554,0.518,2.8,719,0.3,4.4,0,0,0
224,White,Female,77303,0.387,11.4,735,8.2,0.1,1,0,0
225,White,Female,64420,0.255,0.7,718,9.3,4.7,0,0,0
226,Black,Male,52991,0.565,1.5,739,2.3,0.4,0,0,1
227,Black,Female,57212,0.382,3.0,571,0.1,3.6,0,0,0
228,White,Female,61371,0.352,7.1,706,1.5,4.4,1,1,1
229,White,Female,70013,0.396,9.3,678,10.4,1.2,0,0,0
230,White,Male,72669,0.192,1.4,682,2.1,3.0,0,0,1
231,White,Female,70223,0.272,0.5,769,10.3,0.0,1,1,1
232,Black,Male,49054,0.495,1.9,628,8.1,3.0,0,0,0
233,White,Female,77244,0.314,1.8,738,9.5,1.9,1,1,1
234,White,Female,69976,0.4,15.1,647,5.2,0.7,0,1,0
235,White,Male,78462,0.268,2.0,753,2.7,15.8,0,0,1
236,White,Male,60823,0.293,1.3,703,15.7,18.3,0,1,0
237,White,Male,88996,0.425,1.6,691,8.2,3.4,1,1,1
238,White,Female,62862,0.361,1.8,624,4.3,0.3,1,0,1
239,White,Male,79280,0.276,6.0,691,6.6,0.4,1,1,1
240,White,Male,68771,0.252,0.5,672,6.2,3.4,1,1,1
241,White,Male,74608,0.259,1.3,788,2.9,5.1,1,1,1
242,Black,Male,60971,0.467,11.9,660,0.2,3.7,1,1,1
243,Black,Male,29800,0.434,0.6,629,0.4,1.2,1,1,0
244,Black,Female,56824,0.33,4.7,620,0.4,1.2,0,0,0
245,Black,Female,70653,0.416,1.5,585,6.2,3.1,0,0,0
246,White,Male,77397,0.295,3.1,778,0.6,4.7,1,1,1
247,Black,Male,48422,0.402,0.5,718,1.9,20.0,0,0,0
248,White,Male,78499,0.258,1.3,701,0.3,1.2,1,1,1
249,Black,Male,68594,0.457,2.4,762,3.6,11.2,0,0,1
250,White,Male,77124,0.3,0.9,704,3.8,0.3,0,0,0
251,White,Female,62258,0.356,2.7,750,5.0,0.3,0,1,0
252,White,Male,69578,0.245,0.9,732,24.3,8.0,1,0,1
253,White,Female,60536,0.279,3.7,670,25.0,0.5,1,1,0
254,Black,Female,57977,0.596,8.2,659,2.6,0.1,0,0,0
255,White,Female,48928,0.456,0.5,715,5.0,0.6,1,0,1
256,Black,Female,47281,0.405,0.9,588,2.2,1.1,1,0,1
257,Black,Male,73956,0.487,6.5,671,5.3,2.5,1,1,1
258,White,Female,79341,0.415,3.5,752,9.0,5.2,1,1,0
259,Black,Female,36218,0.366,0.5,617,9.7,1.9,0,0,0
260,Black,Female,39685,0.359,2.3,640,4.7,0.3,0,0,0
261,White,Male,69293,0.347,0.8,651,2.6,1.4,1,0,1
262,White,Male,80925,0.318,0.8,681,16.7,1.4,1,1,1
263,White,Male,53725,0.272,9.9,685,14.0,1.7,1,1,0
264,White,Female,62451,0.38,5.0,773,8.2,0.3,1,1,1
265,White,Female,58258,0.229,4.2,682,2.9,0.7,1,1,1
266,Black,Male,71259,0.388,1.0,632,0.2,4.1,0,0,0
267,Black,Male,41230,0.293,0.5,653,9.1,0.1,0,1,0
268,Black,Female,51925,0.326,7.2,569,5.7,2.7,0,0,0
269,Black,Female,47063,0.361,0.5,537,2.0,2.3,0,0,0
270,Black,Male,72697,0.405,1.7,591,0.5,1.3,0,0,0
271,White,Male,77976,0.253,1.1,720,10.6,1.8,1,1,1
272,Black,Female,45141,0.325,3.0,650,1.7,0.8,1,0,1
273,White,Female,71533,0.363,1.0,739,3.9,0.2,1,0,1
274,Black,Male,54111,0.484,1.3,585,3.3,1.7,0,1,0
275,Black,Male,67993,0.425,6.6,648,4.3,5.1,0,0,0
276,White,Male,69629,0.426,3.2,628,5.5,0.7,1,1,1
277,White,Male,82546,0.399,0.6,717,10.9,3.7,1,1,1
278,Black,Female,55360,0.376,4.5,584,4.0,0.1,1,0,1
279,White,Female,95604,0.374,0.8,686,9.1,0.3,1,1,1
280,White,Female,62471,0.324,2.0,707,13.1,3.4,0,0,1
281,Black,Male,61828,0.454,3.6,639,0.5,1.4,1,1,1
282,White,Male,67205,0.294,1.1,596,0.1,2.1,0,0,0
283,White,Male,72026,0.245,1.7,784,1.9,5.9,1,1,1
284,Black,Male,30981,0.476,4.6,634,0.7,0.9,0,0,0
285,White,Female,67655,0.352,9.7,620,7.6,0.8,0,0,0
286,White,Male,85428,0.254,2.6,741,8.7,11.2,1,1,1
287,White,Female,66966,0.295,0.5,736,2.6,3.0,0,0,0
288,Black,Male,44861,0.333,1.4,643,1.5,0.2,1,1,1
289,White,Male,63982,0.23,1.8,778,6.8,4.0,0,0,0
290,White,Female,38698,0.297,1.4,662,1.3,1.8,1,1,1
291,Black,Male,67789,0.406,2.0,666,2.0,1.5,0,0,0
292,White,Male,61934,0.304,3.5,729,2.8,8.5,1,0,1
293,White,Male,71712,0.269,0.5,777,2.6,0.1,1,0,1
294,Black,Male,56462,0.485,1.1,564,3.7,0.4,0,0,0
295,White,Male,86877,0.159,2.5,815,0.6,2.0,0,0,0
296,Black,Female,51852,0.431,1.3,707,7.6,1.3,1,0,1
297,White,Male,80088,0.29,16.5,726,1.8,1.6,0,0,0
298,White,Female,68464,0.262,2.0,659,10.6,1.2,1,1,1
299,White,Female,76594,0.356,7.1,655,3.3,2.6,0,0,0
300,White,Male,69608,0.285,7.9,718,4.0,3.3,0,0,0
301,White,Female,81696,0.417,6.3,721,6.8,1.3,0,0,1
302,White,Male,52143,0.361,0.5,722,9.3,13.2,0,0,1
303,White,Male,80574,0.433,10.3,712,1.7,1.5,1,1,0
304,White,Male,63333,0.266,0.5,725,22.0,1.6,0,0,0
305,White,Female,58072,0.428,0.5,593,6.3,0.3,1,1,1
306,White,Female,68694,0.248,1.9,685,0.0,1.3,0,1,0
307,White,Male,77614,0.292,0.8,638,3.5,1.7,0,0,0
308,White,Female,69064,0.297,0.7,696,3.7,0.2,1,0,1
309,White,Male,58138,0.342,1.2,767,10.8,16.1,0,0,0
310,White,Male,86490,0.34,1.0,661,2.4,0.2,1,1,1
311,Black,Male,48993,0.317,4.0,623,4.2,20.0,1,1,1
312,Black,Male,50327,0.426,0.7,617,1.1,1.3,1,1,1
313,White,Male,78378,0.273,2.7,670,2.2,2.5,0,0,0
314,Black,Male,55132,0.323,15.0,684,0.9,6.8,0,0,0
315,Black,Female,54082,0.409,2.0,688,4.6,0.5,0,0,0
316,White,Female,41433,0.227,3.6,768,0.6,0.9,0,0,0
317,White,Male,74843,0.365,12.2,656,0.8,2.8,1,1,1
318,Black,Male,60178,0.376,0.5,690,0.7,11.1,1,1,0
319,White,Male,66901,0.298,1.9,745,8.9,7.0,0,0,0
320,Black,Female,30259,0.404,6.6,730,2.3,1.6,0,1,0
321,Black,Male,55871,0.495,9.4,613,12.8,13.3,1,0,1
322,Black,Male,57626,0.486,3.2,561,1.3,14.6,0,1,1
323,White,Male,68327,0.395,0.5,691,3.6,2.4,1,1,1
324,Black,Female,32638,0.404,8.1,785,1.4,1.5,0,0,0
325,White,Female,78947,0.252,0.7,645,4.5,3.9,0,0,0
326,White,Male,65611,0.299,1.5,728,2.0,7.6,0,0,0
327,White,Female,60777,0.352,1.6,591,3.2,1.8,1,1,0
328,White,Male,47905,0.357,2.1,792,3.7,4.5,0,0,0
329,Black,Male,73948,0.402,5.5,567,0.5,16.4,1,0,1
330,White,Male,67334,0.228,5.7,590,0.3,1.2,1,1,1
331,White,Male,72984,0.263,4.5,709,3.2,7.1,0,1,0
332,White,Male,83207,0.256,0.5,710,6.8,3.4,1,1,1
333,White,Male,65236,0.338,2.9,773,2.2,1.1,0,0,0
334,Black,Male,67632,0.419,4.8,698,2.8,0.2,1,0,1
335,Black,Female,30386,0.459,2.1,554,5.3,1.2,0,0,1
336,White,Female,68509,0.351,10.1,690,9.2,1.3,0,0,0
337,White,Male,87722,0.156,6.1,671,0.4,2.1,1,0,1
338,White,Male,66195,0.179,3.6,640,16.3,3.0,1,1,1
339,White,Male,83188,0.29,0.5,725,1.2,3.2,1,0,1
340,White,Female,81339,0.337,3.7,748,1.1,1.8,1,1,1
341,White,Female,60451,0.418,8.5,659,11.9,4.4,0,1,0
342,White,Female,59624,0.335,1.7,682,13.2,1.1,1,1,1
343,White,Male,63017,0.232,6.4,692,0.6,0.7,0,0,0
344,White,Female,57902,0.376,1.3,666,15.6,0.2,1,1,1
345,White,Female,54846,0.329,3.0,677,2.1,0.6,1,1,1
346,White,Female,54008,0.302,3.7,666,6.3,2.5,1,1,1
347,Black,Female,62988,0.297,4.0,656,2.3,0.5,1,0,1
348,White,Female,55100,0.336,7.5,669,3.1,3.0,1,0,0
349,White,Female,65585,0.346,0.9,718,3.9,3.1,1,1,1
350,Black,Male,58382,0.31,1.1,629,8.9,1.8,0,0,0
351,White,Male,86980,0.352,4.3,736,4.8,2.9,1,1,1
352,White,Male,66968,0.346,0.7,675,4.0,0.0,0,0,0
353,White,Female,66811,0.333,2.2,727,20.9,3.0,0,0,0
354,White,Male,79910,0.301,0.5,664,1.3,0.3,1,1,1
355,White,Female,77897,0.396,0.5,740,1.1,5.5,1,0,1
356,Black,Male,52822,0.406,4.0,572,1.5,1.8,0,0,0
357,White,Male,65821,0.251,4.8,704,0.5,10.1,0,0,0
358,Black,Female,40382,0.396,0.5,623,1.5,1.3,0,0,0
359,White,Male,94362,0.339,0.9,702,4.3,6.4,0,0,0
360,Black,Male,71844,0.238,0.5,601,0.3,5.2,1,1,1
361,Black,Female,50577,0.345,2.0,641,3.1,1.6,0,0,0
362,White,Female,82314,0.378,0.5,644,2.2,0.1,0,0,0
363,White,Male,70981,0.385,2.0,693,2.2,3.5,1,1,0
364,White,Male,79244,0.371,4.6,689,1.7,2.2,1,1,1
365,Black,Male,58101,0.443,4.0,673,0.5,2.6,0,0,0
366,White,Male,75978,0.309,1.2,708,2.9,8.2,1,1,1
367,White,Male,74917,0.228,3.9,795,7.4,3.7,0,0,0
368,White,Female,58750,0.316,9.2,673,8.8,0.5,0,1,0
369,White,Male,82924,0.16,1.5,698,10.9,0.9,0,0,0
370,Black,Female,58159,0.501,1.4,803,1.1,0.1,0,0,0
371,White,Male,82276,0.243,3.0,694,0.2,1.3,1,1,1
372,White,Female,66202,0.293,1.0,743,23.9,0.1,1,1,1
373,Black,Male,48934,0.454,3.7,685,1.4,3.0,1,1,0
374,Black,Female,68093,0.297,6.2,763,0.3,2.2,0,0,1
375,White,Female,60374,0.247,2.2,629,11.5,9.9,1,1,1
376,White,Female,66640,0.349,4.0,623,15.8,0.0,1,1,1
377,White,Male,78353,0.336,3.7,651,3.2,0.4,1,1,1
378,White,Male,75574,0.295,0.5,713,1.4,10.1,1,1,1
379,White,Female,72154,0.327,0.7,649,6.1,1.8,1,1,1
380,Black,Female,61733,0.499,7.8,548,0.2,0.8,0,0,0
381,Black,Female,48751,0.455,9.8,606,2.7,0.9,0,1,0
382,White,Female,79254,0.365,5.3,715,10.4,3.4,0,0,0
383,White,Female,60330,0.384,8.9,654,1.5,2.2,0,0,0
384,Black,Male,61367,0.359,1.3,712,3.6,13.2,0,0,0
385,White,Male,68123,0.452,1.0,650,12.6,9.4,1,0,1
386,White,Male,65265,0.138,1.7,705,1.4,8.9,0,0,0
387,Black,Female,61441,0.512,0.5,632,2.3,5.9,0,1,0
388,White,Male,103218,0.363,5.8,714,0.4,0.0,0,1,0
389,White,Male,68382,0.317,14.5,718,1.0,2.5,1,1,0
390,Black,Female,63153,0.416,6.1,727,3.1,0.9,0,0,0
391,White,Male,68740,0.289,2.8,738,1.5,3.6,1,1,1
392,White,Male,71895,0.377,1.2,684,2.2,7.7,0,0,0
393,Black,Male,75575,0.377,0.8,687,1.1,7.7,0,0,0
394,Black,Male,47264,0.329,1.6,694,0.1,4.1,0,1,0
395,Black,Male,44618,0.443,3.8,756,0.5,0.1,0,0,0
396,White,Female,62128,0.441,2.1,690,0.9,0.7,1,0,1
397,Black,Male,64636,0.245,9.5,654,1.2,1.2,0,0,0
398,Black,Female,55636,0.575,6.7,713,2.8,1.2,0,0,0
399,White,Female,66606,0.257,0.5,602,7.4,4.7,0,1,0
400,White,Male,72341,0.233,0.5,695,22.2,0.3,1,0,1
401,Black,Male,65865,0.293,3.9,691,1.5,0.1,1,1,0
402,White,Male,42863,0.3,0.9,755,9.0,2.6,1,0,0
403,White,Female,55491,0.24,5.5,591,4.6,2.0,1,1,1
